"round","***6,q=0.5,niid - _step","***6,q=0.5,niid - _step__MIN","***6,q=0.5,niid - _step__MAX","***6,q=0.5,niid - Upload_Bits_each_Orbit_Spar","***6,q=0.5,niid - Upload_Bits_each_Orbit_Spar__MIN","***6,q=0.5,niid - Upload_Bits_each_Orbit_Spar__MAX","***6,q=0.1,niid - _step","***6,q=0.1,niid - _step__MIN","***6,q=0.1,niid - _step__MAX","***6,q=0.1,niid - Upload_Bits_each_Orbit_Spar","***6,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MIN","***6,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MAX","***6,q=0.01,niid - _step","***6,q=0.01,niid - _step__MIN","***6,q=0.01,niid - _step__MAX","***6,q=0.01,niid - Upload_Bits_each_Orbit_Spar","***6,q=0.01,niid - Upload_Bits_each_Orbit_Spar__MIN","***6,q=0.01,niid - Upload_Bits_each_Orbit_Spar__MAX","***4,q=0.1,niid - _step","***4,q=0.1,niid - _step__MIN","***4,q=0.1,niid - _step__MAX","***4,q=0.1,niid - Upload_Bits_each_Orbit_Spar","***4,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MIN","***4,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MAX","***4, q=0.01,niid - _step","***4, q=0.01,niid - _step__MIN","***4, q=0.01,niid - _step__MAX","***4, q=0.01,niid - Upload_Bits_each_Orbit_Spar","***4, q=0.01,niid - Upload_Bits_each_Orbit_Spar__MIN","***4, q=0.01,niid - Upload_Bits_each_Orbit_Spar__MAX","***4, q=0.5, niid - _step","***4, q=0.5, niid - _step__MIN","***4, q=0.5, niid - _step__MAX","***4, q=0.5, niid - Upload_Bits_each_Orbit_Spar","***4, q=0.5, niid - Upload_Bits_each_Orbit_Spar__MIN","***4, q=0.5, niid - Upload_Bits_each_Orbit_Spar__MAX"
"22","66","66","66","2209673.0576784974","2209673.0576784974","2209673.0576784974","66","66","66","683213.6752153572","683213.6752153572","683213.6752153572","66","66","66","83093.55509375966","83093.55509375966","83093.55509375966","66","66","66","408081.6816826863","408081.6816826863","408081.6816826863","66","66","66","45009.009009119814","45009.009009119814","45009.009009119814","66","66","66","1417514.4991179889","1417514.4991179889","1417514.4991179889"
"23","69","69","69","2209134.488339927","2209134.488339927","2209134.488339927","69","69","69","691753.8461555492","691753.8461555492","691753.8461555492","69","69","69","83324.37052457566","83324.37052457566","83324.37052457566","69","69","69","409312.697313705","409312.697313705","409312.697313705","69","69","69","45701.45530156781","45701.45530156781","45701.45530156781","69","69","69","1420592.0381955355","1420592.0381955355","1420592.0381955355"
"24","72","72","72","2213289.166094615","2213289.166094615","2213289.166094615","72","72","72","693754.2465559545","693754.2465559545","693754.2465559545","72","72","72","82247.23184743433","82247.23184743433","82247.23184743433","72","72","72","409235.75883676636","409235.75883676636","409235.75883676636","72","72","72","45855.332255445144","45855.332255445144","45855.332255445144","72","72","72","1419514.8995183941","1419514.8995183941","1419514.8995183941"
"25","75","75","75","2213366.1045715534","2213366.1045715534","2213366.1045715534","75","75","75","693600.3696020772","693600.3696020772","693600.3696020772","75","75","75","82170.29337049567","82170.29337049567","82170.29337049567","75","75","75","407312.29691329965","407312.29691329965","407312.29691329965","75","75","75","46009.20920932248","46009.20920932248","46009.20920932248","75","75","75","1416591.237394725","1416591.237394725","1416591.237394725"
"26","78","78","78","2217366.9053723644","2217366.9053723644","2217366.9053723644","78","78","78","688060.7992624932","688060.7992624932","688060.7992624932","78","78","78","81862.539462741","81862.539462741","81862.539462741","78","78","78","412082.482483497","412082.482483497","412082.482483497","78","78","78","45855.332255445144","45855.332255445144","45855.332255445144","78","78","78","1417283.6836871728","1417283.6836871728","1417283.6836871728"
"27","81","81","81","2215058.751064204","2215058.751064204","2215058.751064204","81","81","81","697755.0473567651","697755.0473567651","697755.0473567651","81","81","81","82093.354893557","82093.354893557","82093.354893557","81","81","81","407158.4199594223","407158.4199594223","407158.4199594223","81","81","81","45239.824439935815","45239.824439935815","45239.824439935815","81","81","81","1420438.1612416583","1420438.1612416583","1420438.1612416583"
"28","84","84","84","2217520.7823262415","2217520.7823262415","2217520.7823262415","84","84","84","691138.3383400398","691138.3383400398","691138.3383400398","84","84","84","82939.67813988232","82939.67813988232","82939.67813988232","84","84","84","406927.60452860635","406927.60452860635","406927.60452860635","84","84","84","45701.45530156781","45701.45530156781","45701.45530156781","84","84","84","1417745.314548805","1417745.314548805","1417745.314548805"
"29","87","87","87","2216135.889741346","2216135.889741346","2216135.889741346","87","87","87","687137.5375392291","687137.5375392291","687137.5375392291","87","87","87","81785.60098580233","81785.60098580233","81785.60098580233","87","87","87","411005.34380635567","411005.34380635567","411005.34380635567","87","87","87","45316.76291687448","45316.76291687448","45316.76291687448","87","87","87","1423054.069457573","1423054.069457573","1423054.069457573"
"30","90","90","90","2219367.3057727697","2219367.3057727697","2219367.3057727697","90","90","90","699909.3247110478","699909.3247110478","699909.3247110478","90","90","90","82401.10880131167","82401.10880131167","82401.10880131167","90","90","90","407773.92777493165","407773.92777493165","407773.92777493165","90","90","90","45547.578347690476","45547.578347690476","45547.578347690476","90","90","90","1419822.653426149","1419822.653426149","1419822.653426149"
"31","93","93","93","2218905.6749111377","2218905.6749111377","2218905.6749111377","93","93","93","697524.2319259491","697524.2319259491","697524.2319259491","93","93","93","83093.55509375966","83093.55509375966","83093.55509375966","93","93","93","406465.97366697434","406465.97366697434","406465.97366697434","93","93","93","45778.39377850648","45778.39377850648","45778.39377850648","93","93","93","1422977.1309806341","1422977.1309806341","1422977.1309806341"
