"round","strict_12_q0.01 - _step","strict_12_q0.01 - _step__MIN","strict_12_q0.01 - _step__MAX","strict_12_q0.01 - length_unique","strict_12_q0.01 - length_unique__MIN","strict_12_q0.01 - length_unique__MAX","strict_12_q0.1 - _step","strict_12_q0.1 - _step__MIN","strict_12_q0.1 - _step__MAX","strict_12_q0.1 - length_unique","strict_12_q0.1 - length_unique__MIN","strict_12_q0.1 - length_unique__MAX","strict_12_q0.5 - _step","strict_12_q0.5 - _step__MIN","strict_12_q0.5 - _step__MAX","strict_12_q0.5 - length_unique","strict_12_q0.5 - length_unique__MIN","strict_12_q0.5 - length_unique__MAX","strict_8_q0.01 - _step","strict_8_q0.01 - _step__MIN","strict_8_q0.01 - _step__MAX","strict_8_q0.01 - length_unique","strict_8_q0.01 - length_unique__MIN","strict_8_q0.01 - length_unique__MAX","strict_8_q0.1 - _step","strict_8_q0.1 - _step__MIN","strict_8_q0.1 - _step__MAX","strict_8_q0.1 - length_unique","strict_8_q0.1 - length_unique__MIN","strict_8_q0.1 - length_unique__MAX","strict_8_q0.5 - _step","strict_8_q0.5 - _step__MIN","strict_8_q0.5 - _step__MAX","strict_8_q0.5 - length_unique","strict_8_q0.5 - length_unique__MIN","strict_8_q0.5 - length_unique__MAX","strict_4_q0.01 - _step","strict_4_q0.01 - _step__MIN","strict_4_q0.01 - _step__MAX","strict_4_q0.01 - length_unique","strict_4_q0.01 - length_unique__MIN","strict_4_q0.01 - length_unique__MAX","strict_4_q0.1 - _step","strict_4_q0.1 - _step__MIN","strict_4_q0.1 - _step__MAX","strict_4_q0.1 - length_unique","strict_4_q0.1 - length_unique__MIN","strict_4_q0.1 - length_unique__MAX","strict_4_q0.5 - _step","strict_4_q0.5 - _step__MIN","strict_4_q0.5 - _step__MAX","strict_4_q0.5 - length_unique","strict_4_q0.5 - length_unique__MIN","strict_4_q0.5 - length_unique__MAX"
"27","109","109","109","793","793","793","109","109","109","4438","4438","4438","109","109","109","6704","6704","6704","109","109","109","564","564","564","109","109","109","3736","3736","3736","109","109","109","6450","6450","6450","109","109","109","302","302","302","109","109","109","2509","2509","2509","109","109","109","6029","6029","6029"
"28","113","113","113","784","784","784","113","113","113","4411","4411","4411","113","113","113","6685","6685","6685","113","113","113","565","565","565","113","113","113","3646","3646","3646","113","113","113","6514","6514","6514","113","113","113","304","304","304","113","113","113","2479","2479","2479","113","113","113","6057","6057","6057"
"29","117","117","117","800","800","800","117","117","117","4384","4384","4384","117","117","117","6682","6682","6682","117","117","117","559","559","559","117","117","117","3655","3655","3655","117","117","117","6468","6468","6468","117","117","117","303","303","303","117","117","117","2498","2498","2498","117","117","117","6043","6043","6043"
"30","121","121","121","801","801","801","121","121","121","4399","4399","4399","121","121","121","6688","6688","6688","121","121","121","571","571","571","121","121","121","3706","3706","3706","121","121","121","6522","6522","6522","121","121","121","310","310","310","121","121","121","2476","2476","2476","121","121","121","6070","6070","6070"
"31","125","125","125","805","805","805","125","125","125","4454","4454","4454","125","125","125","6639","6639","6639","125","125","125","550","550","550","125","125","125","3752","3752","3752","125","125","125","6459","6459","6459","125","125","125","301","301","301","125","125","125","2515","2515","2515","125","125","125","6072","6072","6072"
"32","129","129","129","793","793","793","129","129","129","4378","4378","4378","129","129","129","6670","6670","6670","129","129","129","566","566","566","129","129","129","3690","3690","3690","129","129","129","6509","6509","6509","129","129","129","302","302","302","129","129","129","2481","2481","2481","129","129","129","6051","6051","6051"
"33","133","133","133","797","797","797","133","133","133","4479","4479","4479","133","133","133","6661","6661","6661","133","133","133","567","567","567","133","133","133","3664","3664","3664","133","133","133","6469","6469","6469","133","133","133","306","306","306","133","133","133","2516","2516","2516","133","133","133","6056","6056","6056"
"34","137","137","137","822","822","822","137","137","137","4421","4421","4421","137","137","137","6676","6676","6676","137","137","137","574","574","574","137","137","137","3690","3690","3690","137","137","137","6471","6471","6471","137","137","137","307","307","307","137","137","137","2495","2495","2495","137","137","137","6061","6061","6061"
"35","141","141","141","798","798","798","141","141","141","4400","4400","4400","141","141","141","6691","6691","6691","141","141","141","569","569","569","141","141","141","3650","3650","3650","141","141","141","6455","6455","6455","141","141","141","306","306","306","141","141","141","2486","2486","2486","141","141","141","6044","6044","6044"
"36","145","145","145","792","792","792","145","145","145","4413","4413","4413","145","145","145","6710","6710","6710","145","145","145","563","563","563","145","145","145","3662","3662","3662","145","145","145","6524","6524","6524","145","145","145","307","307","307","145","145","145","2464","2464","2464","145","145","145","6073","6073","6073"
