"round","strict_12_q0.01 - _step","strict_12_q0.01 - _step__MIN","strict_12_q0.01 - _step__MAX","strict_12_q0.01 - length_unique","strict_12_q0.01 - length_unique__MIN","strict_12_q0.01 - length_unique__MAX","strict_12_q0.1 - _step","strict_12_q0.1 - _step__MIN","strict_12_q0.1 - _step__MAX","strict_12_q0.1 - length_unique","strict_12_q0.1 - length_unique__MIN","strict_12_q0.1 - length_unique__MAX","strict_12_q0.5 - _step","strict_12_q0.5 - _step__MIN","strict_12_q0.5 - _step__MAX","strict_12_q0.5 - length_unique","strict_12_q0.5 - length_unique__MIN","strict_12_q0.5 - length_unique__MAX","strict_8_q0.01 - _step","strict_8_q0.01 - _step__MIN","strict_8_q0.01 - _step__MAX","strict_8_q0.01 - length_unique","strict_8_q0.01 - length_unique__MIN","strict_8_q0.01 - length_unique__MAX","strict_8_q0.1 - _step","strict_8_q0.1 - _step__MIN","strict_8_q0.1 - _step__MAX","strict_8_q0.1 - length_unique","strict_8_q0.1 - length_unique__MIN","strict_8_q0.1 - length_unique__MAX","strict_8_q0.5 - _step","strict_8_q0.5 - _step__MIN","strict_8_q0.5 - _step__MAX","strict_8_q0.5 - length_unique","strict_8_q0.5 - length_unique__MIN","strict_8_q0.5 - length_unique__MAX","strict_4_q0.01 - _step","strict_4_q0.01 - _step__MIN","strict_4_q0.01 - _step__MAX","strict_4_q0.01 - length_unique","strict_4_q0.01 - length_unique__MIN","strict_4_q0.01 - length_unique__MAX","strict_4_q0.1 - _step","strict_4_q0.1 - _step__MIN","strict_4_q0.1 - _step__MAX","strict_4_q0.1 - length_unique","strict_4_q0.1 - length_unique__MIN","strict_4_q0.1 - length_unique__MAX","strict_4_q0.5 - _step","strict_4_q0.5 - _step__MIN","strict_4_q0.5 - _step__MAX","strict_4_q0.5 - length_unique","strict_4_q0.5 - length_unique__MIN","strict_4_q0.5 - length_unique__MAX"
"178","713","713","713","850","850","850","713","713","713","4449","4449","4449","713","713","713","6686","6686","6686","713","713","713","584","584","584","713","713","713","3695","3695","3695","713","713","713","6469","6469","6469","713","713","713","305","305","305","713","713","713","2500","2500","2500","713","713","713","6006","6006","6006"
"179","717","717","717","847","847","847","717","717","717","4502","4502","4502","717","717","717","6669","6669","6669","717","717","717","590","590","590","717","717","717","3717","3717","3717","717","717","717","6442","6442","6442","717","717","717","306","306","306","717","717","717","2470","2470","2470","717","717","717","6037","6037","6037"
"180","721","721","721","854","854","854","721","721","721","4508","4508","4508","721","721","721","6700","6700","6700","721","721","721","594","594","594","721","721","721","3712","3712","3712","721","721","721","6480","6480","6480","721","721","721","304","304","304","721","721","721","2478","2478","2478","721","721","721","5987","5987","5987"
"181","725","725","725","846","846","846","725","725","725","4457","4457","4457","725","725","725","6669","6669","6669","725","725","725","588","588","588","725","725","725","3720","3720","3720","725","725","725","6460","6460","6460","725","725","725","306","306","306","725","725","725","2517","2517","2517","725","725","725","6043","6043","6043"
"182","729","729","729","833","833","833","729","729","729","4410","4410","4410","729","729","729","6693","6693","6693","729","729","729","586","586","586","729","729","729","3678","3678","3678","729","729","729","6491","6491","6491","729","729","729","305","305","305","729","729","729","2464","2464","2464","729","729","729","6001","6001","6001"
"183","733","733","733","835","835","835","733","733","733","4463","4463","4463","733","733","733","6652","6652","6652","733","733","733","583","583","583","733","733","733","3713","3713","3713","733","733","733","6446","6446","6446","733","733","733","304","304","304","733","733","733","2476","2476","2476","733","733","733","6073","6073","6073"
"184","737","737","737","841","841","841","737","737","737","4411","4411","4411","737","737","737","6691","6691","6691","737","737","737","585","585","585","737","737","737","3676","3676","3676","737","737","737","6474","6474","6474","737","737","737","304","304","304","737","737","737","2468","2468","2468","737","737","737","6045","6045","6045"
"185","741","741","741","852","852","852","741","741","741","4522","4522","4522","741","741","741","6645","6645","6645","741","741","741","588","588","588","741","741","741","3743","3743","3743","741","741","741","6443","6443","6443","741","741","741","304","304","304","741","741","741","2479","2479","2479","741","741","741","6028","6028","6028"
"186","745","745","745","853","853","853","745","745","745","4457","4457","4457","745","745","745","6689","6689","6689","745","745","745","586","586","586","745","745","745","3685","3685","3685","745","745","745","6453","6453","6453","745","745","745","304","304","304","745","745","745","2477","2477","2477","745","745","745","6006","6006","6006"
"187","749","749","749","835","835","835","749","749","749","4504","4504","4504","749","749","749","6655","6655","6655","749","749","749","595","595","595","749","749","749","3734","3734","3734","749","749","749","6415","6415","6415","749","749","749","304","304","304","749","749","749","2480","2480","2480","749","749","749","6049","6049","6049"
"188","753","753","753","832","832","832","753","753","753","4381","4381","4381","753","753","753","6673","6673","6673","753","753","753","593","593","593","753","753","753","3699","3699","3699","753","753","753","6501","6501","6501","753","753","753","304","304","304","753","753","753","2450","2450","2450","753","753","753","5996","5996","5996"
"189","757","757","757","851","851","851","757","757","757","4489","4489","4489","757","757","757","6631","6631","6631","757","757","757","587","587","587","757","757","757","3798","3798","3798","757","757","757","6471","6471","6471","757","757","757","308","308","308","757","757","757","2492","2492","2492","757","757","757","6044","6044","6044"
"190","761","761","761","848","848","848","761","761","761","4430","4430","4430","761","761","761","6657","6657","6657","761","761","761","577","577","577","761","761","761","3670","3670","3670","761","761","761","6475","6475","6475","761","761","761","302","302","302","761","761","761","2468","2468","2468","761","761","761","6010","6010","6010"
"191","765","765","765","847","847","847","765","765","765","4494","4494","4494","765","765","765","6639","6639","6639","765","765","765","582","582","582","765","765","765","3691","3691","3691","765","765","765","6473","6473","6473","765","765","765","307","307","307","765","765","765","2451","2451","2451","765","765","765","6049","6049","6049"
"192","769","769","769","857","857","857","769","769","769","4426","4426","4426","769","769","769","6699","6699","6699","769","769","769","576","576","576","769","769","769","3663","3663","3663","769","769","769","6485","6485","6485","769","769","769","302","302","302","769","769","769","2493","2493","2493","769","769","769","5997","5997","5997"
"193","773","773","773","843","843","843","773","773","773","4450","4450","4450","773","773","773","6650","6650","6650","773","773","773","589","589","589","773","773","773","3685","3685","3685","773","773","773","6435","6435","6435","773","773","773","306","306","306","773","773","773","2481","2481","2481","773","773","773","6071","6071","6071"
"194","777","777","777","855","855","855","777","777","777","4390","4390","4390","777","777","777","6686","6686","6686","777","777","777","587","587","587","777","777","777","3700","3700","3700","777","777","777","6491","6491","6491","777","777","777","304","304","304","777","777","777","2466","2466","2466","777","777","777","6003","6003","6003"
"195","781","781","781","837","837","837","781","781","781","4483","4483","4483","781","781","781","6688","6688","6688","781","781","781","592","592","592","781","781","781","3723","3723","3723","781","781","781","6465","6465","6465","781","781","781","303","303","303","781","781","781","2473","2473","2473","781","781","781","6029","6029","6029"
"196","785","785","785","855","855","855","785","785","785","4446","4446","4446","785","785","785","6690","6690","6690","785","785","785","585","585","585","785","785","785","3665","3665","3665","785","785","785","6493","6493","6493","785","785","785","309","309","309","785","785","785","2481","2481","2481","785","785","785","5981","5981","5981"
"197","789","789","789","850","850","850","789","789","789","4444","4444","4444","789","789","789","6622","6622","6622","789","789","789","588","588","588","789","789","789","3725","3725","3725","789","789","789","6451","6451","6451","789","789","789","307","307","307","789","789","789","2486","2486","2486","789","789","789","6030","6030","6030"
"198","793","793","793","843","843","843","793","793","793","4428","4428","4428","793","793","793","6706","6706","6706","793","793","793","593","593","593","793","793","793","3677","3677","3677","793","793","793","6464","6464","6464","793","793","793","303","303","303","793","793","793","2462","2462","2462","793","793","793","5977","5977","5977"
"199","797","797","797","837","837","837","797","797","797","4423","4423","4423","797","797","797","6652","6652","6652","797","797","797","590","590","590","797","797","797","3720","3720","3720","797","797","797","6460","6460","6460","797","797","797","306","306","306","797","797","797","2469","2469","2469","797","797","797","6062","6062","6062"
